experiment_scope,model,TN,FP,FN,TP,total_errors,accuracy,toxic_precision,toxic_recall,toxic_f1,specificity,false_positive_rate,false_negative_rate,predicted_toxic_rate,FP_share_of_errors,FN_share_of_errors,provenance
fixed_200k,LR,150832,13006,3735,10510,16741,0.905993272799762,0.4469297499574757,0.7378027378027378,0.5566589867853076,0.9206167067469084,0.0793832932530914,0.2621972621972622,0.1320507853079743,0.7768950480855386,0.2231049519144615,copied from validated error-analysis summary
fixed_200k,SVM,152765,11073,4851,9394,15924,0.9105810212092116,0.458982752723897,0.6594594594594595,0.5412537451025582,0.9324149464715146,0.0675850535284854,0.3405405405405405,0.1149295553197104,0.6953654860587792,0.3046345139412208,copied from validated error-analysis summary
fixed_200k,DistilBERT,160286,3552,5358,8887,8910,0.9499671501490878,0.7144464989147038,0.6238680238680239,0.6660920401738869,0.9783200478521468,0.0216799521478533,0.3761319761319761,0.0698494522217168,0.3986531986531986,0.6013468013468013,copied from validated error-analysis summary
fixed_200k,BERT,159979,3859,5023,9222,8882,0.950124380204736,0.7049919730907424,0.6473850473850474,0.6749615750567227,0.97644624568171,0.02355375431829,0.3526149526149526,0.073454512783365,0.4344742175185769,0.5655257824814232,copied from validated error-analysis summary
fixed_200k,HateBERT,159266,4572,4614,9631,9186,0.9484173110291269,0.6780961768640428,0.6760968760968761,0.6770950506186727,0.9720943859177968,0.0279056140822031,0.3239031239031239,0.079754945727554,0.4977139124755062,0.5022860875244938,copied from validated error-analysis summary
full_data,LR,148727,15111,2692,11553,17803,0.9000297614033905,0.4332808280828082,0.811021411021411,0.5648145884768632,0.9077686495196474,0.0922313504803525,0.188978588978589,0.1497279358501373,0.8487895298545189,0.151210470145481,copied from validated error-analysis summary
full_data,SVM,148085,15753,2951,11294,18704,0.8949703228269964,0.4175694162014271,0.7928395928395928,0.5470309018696116,0.9038501446550862,0.0961498553449138,0.2071604071604071,0.1518786183970396,0.84222626176219,0.1577737382378101,copied from validated error-analysis summary
full_data,DistilBERT,160596,3242,5018,9227,8260,0.9536171335837783,0.7399951880664046,0.6477360477360478,0.6907988320730702,0.9802121607929785,0.01978783920702157,0.35226395226395224,0.07001791299562564,0.3924939467312349,0.6075060532687652,copied from validated error-analysis summary
full_data,BERT,161002,2836,5231,9014,8067,0.9547008978959248,0.7606751054852321,0.6327834327834327,0.6908603180685955,0.9826902183864548,0.017309781613545,0.3672165672165672,0.0665420056939741,0.3515557208379819,0.6484442791620181,copied from validated error-analysis summary
full_data,HateBERT,160664,3174,5020,9225,8194,0.9539877472863776,0.7440116138398258,0.6475956475956476,0.6924635940549467,0.9806272049219352,0.0193727950780649,0.3524043524043524,0.0696248378565051,0.3873566023919941,0.6126433976080059,copied from validated error-analysis summary
